"source","target","label","category","usage","publishStatus","width","height","sourceBytes","outputBytes","duplicateOf"
"infravolt_ui_icon_assets_svg/icon-cad.svg","public/assets/icons/actions/icon-cad.svg","CAD","action-icon","icon","draft","","","1055","1055",""
"infravolt_ui_icon_assets_svg/icon-download.svg","public/assets/icons/actions/icon-download.svg","Download","action-icon","icon","draft","","","947","947",""
"infravolt_ui_icon_assets_svg/icon-pdf.svg","public/assets/icons/actions/icon-pdf.svg","PDF","action-icon","icon","draft","","","1001","1001",""
"infravolt_ui_icon_assets_svg/icon-question.svg","public/assets/icons/actions/icon-question.svg","Question","action-icon","icon","draft","","","956","956",""
"infravolt_ui_icon_assets_svg/icon-quote.svg","public/assets/icons/actions/icon-quote.svg","Quote","action-icon","icon","draft","","","984","984",""
"infravolt_ui_icon_assets_svg/icon-technical-pack.svg","public/assets/icons/actions/icon-technical-pack.svg","Technical pack","action-icon","icon","draft","","","956","956",""
"infravolt_ui_icon_assets_svg/icon-busbar.svg","public/assets/icons/products/icon-busbar.svg","Busbar","product-icon","icon","draft","","","992","992",""
"infravolt_ui_icon_assets_svg/icon-cable-tray.svg","public/assets/icons/products/icon-cable-tray.svg","Cable tray","product-icon","icon","draft","","","990","990",""
"infravolt_ui_icon_assets_svg/icon-distribution-panel.svg","public/assets/icons/products/icon-distribution-panel.svg","Distribution panel","product-icon","icon","draft","","","1006","1006",""
"infravolt_ui_icon_assets_svg/icon-earthing.svg","public/assets/icons/products/icon-earthing.svg","Earthing","product-icon","icon","draft","","","972","972",""
"infravolt_ui_icon_assets_svg/icon-ev-charging.svg","public/assets/icons/products/icon-ev-charging.svg","EV charging","product-icon","icon","draft","","","1088","1088",""
"infravolt_ui_icon_assets_svg/icon-led-bus lighting.svg","public/assets/icons/products/icon-led-bus lighting.svg","Lighting busbar","product-icon","icon","draft","","","1006","1006",""
"infravolt_ui_icon_assets_svg/icon-lightning.svg","public/assets/icons/products/icon-lightning.svg","Lightning protection","product-icon","icon","draft","","","983","983",""
"infravolt_ui_icon_assets_svg/icon-outdoor-enclosure.svg","public/assets/icons/products/icon-outdoor-enclosure.svg","Outdoor enclosure","product-icon","icon","draft","","","1045","1045",""
"infravolt_ui_icon_assets_svg/icon-support-system.svg","public/assets/icons/products/icon-support-system.svg","Support system","product-icon","icon","draft","","","960","960",""
"commercial-building/ChatGPT Image Jun 30, 2026, 11_23_36 PM.png","public/assets/industries/commercial-buildings/overview/commercial-building-application-map-overview.webp","Commercial building application map overview","commercial-buildings","application-map","review-required","1536","1024","2390817","165728",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_52 AM (4).png","public/assets/industries/commercial-buildings/zones/commercial-building-ev-charging-area.webp","Commercial building EV charging area","commercial-buildings","application-map","review-required","1672","941","2280379","123684",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_51 AM (1).png","public/assets/industries/commercial-buildings/zones/commercial-building-main-electrical-room.webp","Commercial building main electrical room","commercial-buildings","application-map","review-required","1672","941","2249582","116212",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_52 AM (2).png","public/assets/industries/commercial-buildings/zones/commercial-building-office-floor.webp","Commercial building office floor","commercial-buildings","application-map","review-required","1672","941","2365306","148040",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_53 AM (6).png","public/assets/industries/commercial-buildings/zones/commercial-building-outdoor-electrical-enclosure.webp","Commercial building outdoor electrical enclosure","commercial-buildings","application-map","review-required","1672","941","2531784","154024",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_53 AM (5).png","public/assets/industries/commercial-buildings/zones/commercial-building-rooftop-plant.webp","Commercial building rooftop plant","commercial-buildings","application-map","review-required","1672","941","2631025","179764",""
"commercial-building/ChatGPT Image Jul 1, 2026, 01_10_52 AM (3).png","public/assets/industries/commercial-buildings/zones/commercial-building-underfloor-distribution.webp","Commercial building underfloor distribution","commercial-buildings","application-map","review-required","1672","941","2655015","168142",""
"data center/ChatGPT Image Jul 1, 2026, 01_14_55 AM.png","public/assets/industries/data-centres/overview/data-centre-application-map-overview.webp","Data centre application map overview","data-centres","application-map","review-required","1536","1024","2437120","165058",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_49 AM (7).png","public/assets/industries/data-centres/zones/data-centre-ev-charging-external-services.webp","Data centre EV charging and external services","data-centres","application-map","review-required","1672","941","2341445","142666",""
"data center/ChatGPT Image Jul 1, 2026, 01_20_47 AM (6).png","public/assets/industries/data-centres/zones/data-centre-external-utility-enclosure.webp","Data centre external utility enclosure","data-centres","application-map","review-required","1672","941","2291644","131434",""
