market,viewport,route,tier,assetType,url,isR2,runsObserved,aboveFold,loadedBeforeScrollRate,loadingAttr,poster,renderedWidth,renderedHeight,naturalWidth,naturalHeight,httpStatus,contentType,contentLengthBytes,cacheControl,etag,medianStartTimeMs,medianResponseEndMs,medianDurationMs,medianVideoCanPlayMs,medianPageLcpMs,pageLcpIsThisAssetRate,medianPageCls,classification,classificationScore,classificationReasons
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/brand/infravolt-wordmark-primary.webp,true,3,true,1,eager,,252,57,1040,235,200,image/webp,126044,,"""15ab34f45bad11445e87379fdf35c690""",168.80000000447035,295.30000000447035,126.5,,2640,0,0,NEEDS OPTIMISATION,3,above the fold; no effective cache-control for repeat visits
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/cable-management.webp,true,3,false,1,lazy,,213,213,1024,1024,200,image/webp,1695614,,"""0504d347880f826b43fc96ac12cbc6fb""",2443.7000000029802,2576.7000000029802,133,,2640,0,0,CRITICAL,6,large file (1.62 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/busbar-systems.webp,true,3,false,1,eager,,213,213,1024,1024,200,image/webp,1637973,,"""9c06a079753a8741c9937486f7259cba""",168.89999999850988,357.1000000014901,190.79999999701977,,2640,0,0,CRITICAL,6,large file (1.56 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/underfloor-cable-trunking.webp,true,3,false,1,lazy,,213,213,1024,1024,200,image/webp,1620336,,"""12e01da1555dd0591896fd36b2732f57""",2443.8000000044703,2551,120,,2640,0,0,CRITICAL,6,large file (1.55 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/earthing-lightning-protection.webp,true,3,false,1,lazy,,213,213,1024,1024,200,image/webp,1781015,,"""277621dec07d86630ff44111c28dace1""",2443.8000000044703,2743.2000000029802,215,,2640,0,0,CRITICAL,7,large file (1.70 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/led-systems.webp,true,3,false,1,lazy,,213,213,1024,1024,200,image/webp,1717800,,"""6c6b2620906827ac13a5760292e962ab""",2443.89999999851,2701.3000000044703,257.40000000596046,,2640,0,0,CRITICAL,7,large file (1.64 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/media/hero-badges/ev-charging-systems.webp,true,3,false,1,lazy,,213,213,1024,1024,200,image/webp,1645686,,"""a1f5b5480144c89fa2d1b2b5325fa9ae""",2444.10000000149,2691.10000000149,330.20000000298023,,2640,0,0,CRITICAL,7,large file (1.57 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/company/gersan-zonguldak-factory.webp,true,3,false,1,lazy,,707,398,1672,941,200,image/webp,2514210,,"""3da72dff4693e6e71389643ce1ca0a41""",2445.60000000149,3056.10000000149,610.5,,2640,0,0,CRITICAL,8,moderate transfer time (611 ms); large file (2.40 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,http://uk.infravolt.localhost:3000/assets/brand/gersan-logo.png,false,3,false,1,lazy,,120,27,583,132,200,image/png,18938,"public, max-age=0","W/""49fa-19fbebfcec4""",2444.2000000029802,2451.5,7.700000002980232,,2640,0,0,NEEDS OPTIMISATION,3,no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
uk,desktop,/,priority,image,https://pub-f1a143f96bfc47df8ff1ccd1aaea6671.r2.dev/products/thumbnails/product-busbar-systems.webp,true,3,false,1,lazy,,462,289,1448,1086,200,image/webp,2043153,,"""aed2c952a8ba787f67d9cc5fd051225a""",2444.39999999851,2789.7000000029802,345.30000000447035,,2640,0,0,CRITICAL,7,large file (1.95 MB); no effective cache-control for repeat visits; fetched before scroll despite being below the fold (unnecessary initial-load bytes)
