reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
1,28/2013 – 33/11 KV PSS AT MISFAH -04 / OMAN,28/2013 – 33/11 KV PSS AT MISFAH -04 / OMAN,28/2013 – 33/11 KV PSS AT MISFAH -04,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
2,33/11 KV PRIMARY SUBSTATION PACKAGE NO9 AL QOAF / OMAN,33/11 KV PRIMARY SUBSTATION PACKAGE NO9 AL QOAF / OMAN,33/11 KV PRIMARY SUBSTATION PACKAGE NO9 AL QOAF,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
3,33/11 KV PSS – SHAKHAKHAIT / OMAN,33/11 KV PSS – SHAKHAKHAIT / OMAN,33/11 KV PSS – SHAKHAKHAIT,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
4,33/11 KV PSS AT MUSANDAM / OMAN,33/11 KV PSS AT MUSANDAM / OMAN,33/11 KV PSS AT MUSANDAM,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
5,40” GAS PIPELINE FROM BS 131 TO LPG PLANT AT MAA / KUWAIT,40” GAS PIPELINE FROM BS 131 TO LPG PLANT AT MAA / KUWAIT,40” GAS PIPELINE FROM BS 131 TO LPG PLANT AT MAA,KUWAIT,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
6,54/2013 – 33/11 PSS AT SHAYH DHA / OMAN,54/2013 – 33/11 PSS AT SHAYH DHA / OMAN,54/2013 – 33/11 PSS AT SHAYH DHA,OMAN,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
7,ABU DHABI CRUDE OIL & PIPELINE PROJECT HABSHAN TO FUJAIRAH / UAE,ABU DHABI CRUDE OIL & PIPELINE PROJECT HABSHAN TO FUJAIRAH / UAE,ABU DHABI CRUDE OIL & PIPELINE PROJECT HABSHAN TO FUJAIRAH,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
8,ADNAN MENDERES AIRPORT - IZMIR / TURKIYE,ADNAN MENDERES AIRPORT - IZMIR / TURKIYE,ADNAN MENDERES AIRPORT - IZMIR,TURKIYE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
9,AIN TSILA DEVELOPMENT PROJECT / ALGERIA,AIN TSILA DEVELOPMENT PROJECT / ALGERIA,AIN TSILA DEVELOPMENT PROJECT,ALGERIA,last slash suffix only; not externally verified,international_project_references,131,129,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
10,AL DHAID EMARAT PETROL STATION - AL RASHIDIYA FILLING STATION - AL RUMAILA EMARAT FILLING STATION - AL MAFREQ EMARAT FILLING STATION / UAE,AL DHAID EMARAT PETROL STATION - AL RASHIDIYA FILLING STATION - AL RUMAILA || EMARAT FILLING STATION - AL MAFREQ EMARAT FILLING STATION / UAE,AL DHAID EMARAT PETROL STATION - AL RASHIDIYA FILLING STATION - AL RUMAILA EMARAT FILLING STATION - AL MAFREQ EMARAT FILLING STATION,UAE,last slash suffix only; not externally verified,international_project_references,131,129,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
