entry_no,catalog_display_name,logo_identity_as_printed,address_and_contact_as_printed,source_pdf_page,source_printed_page,row_on_page,logo_filename,company_card_filename,verification_status,verification_note
1,ALSTOM POWER SYSTEMS,ALSTOM,"4, Avenue Andre Malraux | 92309 Levallois Malraux 92309 Levallois Perret Cedex - FRANCE | Tel: +33 (0) 141492000 Fax: +33(0) 141492485",124,122,1,site-ready/logos/01-alstom-power-systems.webp,technical-only/company-cards/01-alstom-power-systems-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
2,SIEMENS,SIEMENS,Siemens Pakistan Engineering Co. LTD. | B-72 ESTATE AVENUE S.I.T.E | P.O. BOX 7158 KARACHI - 75700 PAKISTAN,124,122,2,site-ready/logos/02-siemens.webp,technical-only/company-cards/02-siemens-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
3,Vibitech GmbH,vibitech busbar systems,Rostocker Chaussee 46 | 18437 Stralsund,124,122,3,site-ready/logos/03-vibitech-gmbh.webp,technical-only/company-cards/03-vibitech-gmbh-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
4,Petrofac International LTD.,Petrofac,"Petrofac House, Al-Soor Street | P.O. Box: 23467 SHARJAH / U.A.E",124,122,4,site-ready/logos/04-petrofac-international-ltd.webp,technical-only/company-cards/04-petrofac-international-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
5,Mitsubishi Electric Corpoation,MITSUBISHI ELECTRIC,"P.O. Box 1554, Dubai, UAE. | Tel: +(971) 4 282 7763 | Fax: +(971) 4 282 7716",124,122,5,site-ready/logos/05-mitsubishi-electric-corpoation.webp,technical-only/company-cards/05-mitsubishi-electric-corpoation-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,Catalog title contains “Corpoation” as printed.
6,1. Dubai & Northern Emirates,gama engineering,"P.O. Box 8886, E3-12, SAIF Zone, Sharjah UAE | Tel: +(971) 6 5981 999 | D: +971 6 5981 945",124,122,6,site-ready/logos/06-1-dubai-and-northern-emirates.webp,technical-only/company-cards/06-1-dubai-and-northern-emirates-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,The displayed title is a regional label rather than the Gama Engineering company name shown in the logo.
7,ABB INDUSTRIES LLC.,ABB,"P.O. BOX 11070.... DUBAI, UAE | Tel: +971 4 3401777 | Fax: +971 4 3401530",124,122,7,site-ready/logos/07-abb-industries-llc.webp,technical-only/company-cards/07-abb-industries-llc-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
8,SIDEM ( STÉ INTERNATIONALE DE DESSALEMENT,SIDEM,20-33 Rue de Clichy 75009 PARIS -RFANCE | Phone: +33 149 957 676 | Fax: +33 149 957 695,125,123,1,site-ready/logos/08-sidem-st-internationale-de-dessalement.webp,technical-only/company-cards/08-sidem-st-internationale-de-dessalement-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,“RFANCE” is retained as printed.
9,3M Colombia S.A,3M,Avenida El Dorado No: 75-93 | Tel: 57 1 4161666 | www.3m.com.co,125,123,2,site-ready/logos/09-3m-colombia-s-a.webp,technical-only/company-cards/09-3m-colombia-s-a-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
10,Thales International Middle East (Branches),THALES,"P.O. Box 125118, Dubai, UAE. | Tel: +(971) (0) 4 299 44 12 | Fax: +(971) (0) 4 299 41 01",125,123,4,site-ready/logos/10-thales-international-middle-east-branches.webp,technical-only/company-cards/10-thales-international-middle-east-branches-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
11,SEA STAR INTERNATIONAL,SEA STAR INTERNATIONAL,42-A Suite-15 Dostyk Ave 050010 | Almaty City - REPUBLIC OF KAZAKHISTAN | Tel: 007-7272-304663 Fax: 007-7272-304235,125,123,5,low-resolution/logos/11-sea-star-international.webp,technical-only/company-cards/11-sea-star-international-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
12,DENGE ENERGY LTD.,DENGE ENERGY LTD.,Atambaeva Str. No: 10b Atyrau City. | REPUBLIC OF KAZAKHISTAN | Tel: 007 7122 45 72 97 Fax: 007 7122 49 13 47,125,123,6,low-resolution/logos/12-denge-energy-ltd.webp,technical-only/company-cards/12-denge-energy-ltd-card.webp,CATALOGUE-SOURCED / NOT CURRENTLY VERIFIED,"Name, logo association and contact block were transcribed from the catalogue and were not externally verified."
